obs_id,species,stage,character,state,source
,Desmophyes villafrancae,adult,Desmoneme shape,Pear,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Haploneme shape,Banana,Carre1969d_Rvillafrancae
,Desmophyes villafrancae,adult,Heteroneme shape,Elongate,Carre1969d_Rvillafrancae
,Apolemia uvaria,adult,Heteroneme type,Macrobirhopaloids,Carre1973a
,Apolemia uvaria,adult,Heteroneme type,Microbirhopaloids,Carre1973a
,Forskalia edwardsi,adult,Haploneme type,Atrichous(?) isorhizas,ClaudeCarre_pers_Comm
,Sphaeronectes koellikeri,adult,Terminal filament,1,Claus1874
,Sphaeronectes irregularis,adult,Heteroneme type,Microbasic mastigophores,Claus1874
,Sphaeronectes koellikeri,adult,Desmoneme shape,Pear,Claus1874
,Sphaeronectes irregularis,adult,Desmoneme shape,Pear,Claus1874
,Sphaeronectes koellikeri,adult,Proximal TF desmoneme clump,1,Claus1874
,Sphaeronectes koellikeri,adult,Distal TF desmoneme clump,1,Claus1874
,Sphaeronectes irregularis,adult,Proximal TF desmoneme clump,1,Claus1874
,Sphaeronectes irregularis,adult,Distal TF desmoneme clump,0,Claus1874
,Sphaeronectes koellikeri,adult,Heteroneme shape,Cylindrical,Claus1874
,Sphaeronectes irregularis,adult,Heteroneme shape,Cylindrical,Claus1874
,Marrus claudanielis,adult,Cnidoband shape,Loosely coiled,Dunn2005_claudanielis
,Marrus claudanielis,adult,Involucrum,0,Dunn2005_claudanielis
,Marrus claudanielis,adult,Gastrozooid color,Deep red,Dunn2005_claudanielis
,Marrus claudanielis,adult,Tentacle color,Deep red,Dunn2005_claudanielis
,Marrus claudanielis,adult,Heteroneme position,Ubiquitous,Dunn2005_claudanielis
,Marrus claudanielis,adult,Haploneme type,Anisorhizas(?),Dunn2005_claudanielis
,Marrus claudanielis,adult,Haploneme position,Lateral,Dunn2005_claudanielis
,Marrus orthocanna,adult,Involucrum,0,Dunn2005_claudanielis
,Marrus antarcticus,adult,Involucrum,0,Dunn2005_claudanielis
,Marrus orthocanna,adult,Cnidoband shape,Straight,Dunn2005_claudanielis
,Dimophyes arctica,adult,Cnidoband shape,C,Grossman2013_thesis
,Dimophyes arctica,adult,Heteroneme type,Microbasic mastigophores,Grossman2013_thesis
,Dimophyes arctica,adult,Haploneme type,Holotrichous isorhizas,Grossman2013_thesis
,Dimophyes arctica,adult,Heteroneme shape,Elongate,Grossman2013_thesis
,Dimophyes arctica,adult,Haploneme shape,Elongate,Grossman2013_thesis
,Clausophyes galeata,adult,Heteroneme type,Microbasic mastigophores,Grossman2013_thesis
,Clausophyes galeata,adult,Haploneme type,Holotrichous isorhizas,Grossman2013_thesis
,Clausophyes galeata,adult,Heteroneme shape,Elongate,Grossman2013_thesis
,Clausophyes galeata,adult,Haploneme shape,Elongate,Grossman2013_thesis
,Archangelopsis jagoa,adult,Benthic existence,1,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Tentilla,1,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Tentacle annulation,1,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Cnidoband shape,Loosely coiled,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Gastrozooid color,Yellow,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Gastrozooid color,Orange,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Cnidoband color,Orange,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Tentacle color,Orange,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Tentacle ventral ligament,1,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Tentacle terminal filament,1,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Heteroneme shape,Ensiform,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Heteroneme position,Lateral,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Rhopaloneme type,Acrophores,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Atentaculate gastrozooids,0,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Fishing posture,Tethered,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Gastrozooids on long peduncles,1,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Feeding gonopalpons,1,Hissman1995_Ajagoa
,Tridensa rotunda,adult,Benthic existence,1,Hissman2005_newrho
,Tridensa sulawensis,adult,Benthic existence,1,Hissman2005_newrho
,Arancialia captonia,adult,Benthic existence,1,Hissman2005_newrho
,Tridensa rotunda,adult,Fishing posture,Tethered,Hissman2005_newrho
,Tridensa sulawensis,adult,Fishing posture,Tethered,Hissman2005_newrho
,Arancialia captonia,adult,Fishing posture,Tethered,Hissman2005_newrho
,Tridensa sulawensis,adult,Atentaculate gastrozooids,1,Hissman2005_newrho
,Tridensa rotunda,adult,Atentaculate gastrozooids,1,Hissman2005_newrho
,Tridensa sulawensis,adult,Gastrozooid color,Orange,Hissman2005_newrho
,Tridensa sulawensis,adult,Tentacle annulation,1,Hissman2005_newrho
,Tridensa sulawensis,adult,Tentilla,1,Hissman2005_newrho
